order_id,customer_id,order_date,items,shipping_address,total_amount
ORD0000001,CUST000046,2023-08-16,"[{""product_id"": ""PROD00003"", ""quantity"": 3, ""price"": 370.91}]","{""street"": ""703 Main St"", ""city"": ""New York"", ""zip"": ""32515""}",1112.73
ORD0000002,CUST000027,2023-11-20,"[{""product_id"": ""PROD00008"", ""quantity"": 2, ""price"": 40.45}, {""product_id"": ""PROD00009"", ""quantity"": 2, ""price"": 187.57}]","{""street"": ""6503 Main St"", ""city"": ""Seattle"", ""zip"": ""60739""}",456.04
ORD0000003,CUST000093,2023-11-27,"[{""product_id"": ""PROD00006"", ""quantity"": 3, ""price"": 428.33}, {""product_id"": ""PROD00005"", ""quantity"": 1, ""price"": 135.9}]","{""street"": ""9664 Main St"", ""city"": ""Chicago"", ""zip"": ""85761""}",1420.89
ORD0000004,CUST000017,2023-04-08,"[{""product_id"": ""PROD00010"", ""quantity"": 2, ""price"": 176.2}, {""product_id"": ""PROD00005"", ""quantity"": 1, ""price"": 135.9}, {""product_id"": ""PROD00004"", ""quantity"": 3, ""price"": 69.84}, {""product_id"": ""PROD00010"", ""quantity"": 2, ""price"": 176.2}, {""product_id"": ""PROD00007"", ""quantity"": 1, ""price"": 400.44}]","{""street"": ""1329 Main St"", ""city"": ""New York"", ""zip"": ""10614""}",1450.66
ORD0000005,CUST000092,2023-09-24,"[{""product_id"": ""PROD00003"", ""quantity"": 3, ""price"": 370.91}, {""product_id"": ""PROD00009"", ""quantity"": 2, ""price"": 187.57}, {""product_id"": ""PROD00010"", ""quantity"": 3, ""price"": 176.2}]","{""street"": ""3075 Main St"", ""city"": ""Austin"", ""zip"": ""30353""}",2016.47
ORD0000006,CUST000029,2023-09-04,"[{""product_id"": ""PROD00007"", ""quantity"": 2, ""price"": 400.44}]","{""street"": ""176 Main St"", ""city"": ""Austin"", ""zip"": ""46707""}",800.88
ORD0000007,CUST000093,2023-10-22,"[{""product_id"": ""PROD00003"", ""quantity"": 1, ""price"": 370.91}, {""product_id"": ""PROD00001"", ""quantity"": 3, ""price"": 5.32}, {""product_id"": ""PROD00007"", ""quantity"": 1, ""price"": ""NaN""}]","{""street"": ""9664 Main St"", ""city"": ""Chicago"", ""zip"": ""85761""}",nan
ORD0000008,CUST000094,2023-10-20,"[{""product_id"": ""PROD00008"", ""quantity"": 3, ""price"": 40.45}]","{""street"": ""4391 Main St"", ""city"": ""Austin"", ""zip"": ""36565""}",121.35
ORD0000009,CUST000094,2023-01-22,"[{""product_id"": ""PROD00003"", ""quantity"": 3, ""price"": 370.91}]",,1112.73
ORD0000010,CUST000042,2023-05-18,"[{""product_id"": ""PROD00005"", ""quantity"": 3, ""price"": 135.9}, {""product_id"": ""PROD00007"", ""quantity"": 3, ""price"": 400.44}]","{""street"": ""6033 Main St"", ""city"": ""New York"", ""zip"": ""79782""}",1609.02
ORD0000011,CUST000035,2023-10-29,"[{""product_id"": ""PROD00009"", ""quantity"": 1, ""price"": 187.57}, {""product_id"": ""PROD00001"", ""quantity"": 1, ""price"": 5.32}]","{""street"": ""3299 Main St"", ""city"": ""New York"", ""zip"": ""92335""}",192.89
ORD0000012,CUST000084,2023-02-04,"[{""product_id"": ""PROD00004"", ""quantity"": 3, ""price"": 69.84}, {""product_id"": ""PROD00001"", ""quantity"": 1, ""price"": 5.32}, {""product_id"": ""PROD00004"", ""quantity"": 3, ""price"": 69.84}, {""product_id"": ""PROD00005"", ""quantity"": 2, ""price"": 135.9}, {""product_id"": ""PROD00009"", ""quantity"": 2, ""price"": 187.57}]","{""street"": ""3490 Main St"", ""city"": ""Austin"", ""zip"": ""92056""}",1071.3
ORD0000013,CUST000068,2023-08-27,"[{""product_id"": ""PROD00009"", ""quantity"": 3, ""price"": 187.57}, {""product_id"": ""PROD00001"", ""quantity"": 2, ""price"": 5.32}, {""product_id"": ""PROD00007"", ""quantity"": 1, ""price"": 400.44}]","{""street"": ""1228 Main St"", ""city"": ""New York"", ""zip"": ""76157""}",973.79
ORD0000014,CUST000033,2023-11-25,"[{""product_id"": ""PROD00002"", ""quantity"": 3, ""price"": 59.11}, {""product_id"": ""PROD00001"", ""quantity"": 1, ""price"": 5.32}, {""product_id"": ""PROD00010"", ""quantity"": 2, ""price"": 176.2}, {""product_id"": ""PROD00002"", ""quantity"": 3, ""price"": 59.11}]","{""street"": ""7338 Main St"", ""city"": ""Chicago"", ""zip"": ""56209""}",712.38
ORD0000015,CUST000041,2023-12-13,"[{""product_id"": ""PROD00005"", ""quantity"": 3, ""price"": 135.9}, {""product_id"": ""PROD00002"", ""quantity"": 3, ""price"": 59.11}, {""product_id"": ""PROD00003"", ""quantity"": 2, ""price"": 370.91}]","{""street"": ""4560 Main St"", ""city"": ""Seattle"", ""zip"": ""74614""}",1326.85
ORD0000016,CUST000087,2023-03-24,"[{""product_id"": ""PROD00010"", ""quantity"": 1, ""price"": 176.2}, {""product_id"": ""PROD00005"", ""quantity"": 2, ""price"": 135.9}]","{""street"": ""6819 Main St"", ""city"": ""Austin"", ""zip"": ""80044""}",448.0
ORD0000017,CUST000050,2023-10-09,"[{""product_id"": ""PROD00007"", ""quantity"": 2, ""price"": 400.44}]","{""street"": ""337 Main St"", ""city"": ""New York"", ""zip"": ""61402""}",800.88
ORD0000018,CUST000078,2023-10-27,"[{""product_id"": ""PROD00010"", ""quantity"": 2, ""price"": 176.2}, {""product_id"": ""PROD00001"", ""quantity"": 2, ""price"": 5.32}]","{""street"": ""8458 Main St"", ""city"": ""Seattle"", ""zip"": ""70050""}",363.04
ORD0000019,CUST000075,2023-11-09,"[{""product_id"": ""PROD00007"", ""quantity"": 2, ""price"": 400.44}, {""product_id"": ""PROD00002"", ""quantity"": 1, ""price"": 59.11}, {""product_id"": ""PROD00003"", ""quantity"": 2, ""price"": 370.91}, {""product_id"": ""PROD00002"", ""quantity"": 1, ""price"": 59.11}]","{""street"": ""1783 Main St"", ""city"": ""New York"", ""zip"": ""97241""}",1660.92
ORD0000020,CUST000003,2023-05-20,"[{""product_id"": ""PROD00002"", ""quantity"": 2, ""price"": 59.11}, {""product_id"": ""PROD00005"", ""quantity"": 2, ""price"": 135.9}, {""product_id"": ""PROD00003"", ""quantity"": 1, ""price"": 370.91}, {""product_id"": ""PROD00001"", ""quantity"": 3, ""price"": 5.32}, {""product_id"": ""PROD00003"", ""quantity"": 2, ""price"": 370.91}]","{""street"": ""6081 Main St"", ""city"": ""New York"", ""zip"": ""89893""}",1518.71
ORD0000021,CUST000013,2023-01-06,"[{""product_id"": ""PROD00005"", ""quantity"": 2, ""price"": ""NaN""}, {""product_id"": ""PROD00008"", ""quantity"": 3, ""price"": 40.45}, {""product_id"": ""PROD00007"", ""quantity"": 1, ""price"": ""free""}, {""product_id"": ""PROD00008"", ""quantity"": 2, ""price"": 40.45}]","{""street"": ""5511 Main St"", ""city"": ""Seattle"", ""zip"": ""60914""}",nan
ORD0000022,CUST000003,2023-01-10,"[{""product_id"": ""PROD00005"", ""quantity"": 2, ""price"": 135.9}, {""product_id"": ""PROD00007"", ""quantity"": 2, ""price"": 400.44}, {""product_id"": ""PROD00006"", ""quantity"": 1, ""price"": 428.33}, {""product_id"": ""PROD00002"", ""quantity"": 1, ""price"": 59.11}]","{""street"": ""6081 Main St"", ""city"": ""New York"", ""zip"": ""89893""}",1560.12
